action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,inactive,5505475,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,C/C(=N\Nc1nc(-c2cc(C)ccc2C)cs1)c1cc2c(ccc3ccccc32)oc1=O,,,CHEMBL1201862,,,,CHEMBL3190303,,CHEMBL3190303,,0,http://www.openphacts.org/units/Nanomolar,1030424,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,inactive,5505476,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,CN1c2ccsc2C(O)=C(C(S)=Nc2ccc(F)c(Cl)c2)S1(=O)=O,,,CHEMBL1201862,,,,CHEMBL1613571,,CHEMBL1613571,,0,http://www.openphacts.org/units/Nanomolar,989268,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,Active,5505477,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Oc1ccc(/N=C/c2ccc(-c3cccs3)s2)cc1,,,CHEMBL1201862,,,"{'bei': '18.84', 'le': '0.39', 'lle': '0.45', 'sei': '16.50'}",CHEMBL504791,,CHEMBL504791,5.38,0,http://www.openphacts.org/units/Nanomolar,1283802,=,7,1,=,,IC50,nM,,4200.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,4.2
,inactive,5505478,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cccn2c(=O)c(/C=C(\C#N)C(N)=O)c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc12,,,CHEMBL1201862,,,,CHEMBL1426072,,CHEMBL1426072,,0,http://www.openphacts.org/units/Nanomolar,1033991,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,Active,5505479,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,CCOc1cc(C2C3=C(CCCC3=O)N(CCC(=O)O)C3=C2C(=O)CCC3)ccc1OS(=O)(=O)c1ccc(C)cc1,,,CHEMBL1201862,,,"{'bei': '10.70', 'le': '0.21', 'lle': '1.15', 'sei': '4.87'}",CHEMBL1299795,,CHEMBL1299795,6.20,0,http://www.openphacts.org/units/Nanomolar,1051083,=,7,1,=,,IC50,nM,,629.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,0.629
,inactive,5505480,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cccn2c(=O)c(/C=C(\C#N)C(=O)NCc3ccco3)c(N3CCC(C(N)=O)CC3)nc12,,,CHEMBL1201862,,,,CHEMBL1349913,,CHEMBL1349913,,0,http://www.openphacts.org/units/Nanomolar,1033940,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,Active,5505481,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(S(=O)(=O)Oc2ccc(C3C4=C(CCCC4=O)N(CCC(=O)O)C4=C3C(=O)CCC4)cc2Cl)cc1,,,CHEMBL1201862,,,"{'bei': '11.24', 'le': '0.22', 'lle': '1.11', 'sei': '5.43'}",CHEMBL1555914,,CHEMBL1555914,6.41,0,http://www.openphacts.org/units/Nanomolar,1050765,=,7,1,=,,IC50,nM,,393.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,0.393
,Active,5505482,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,COc1ccc2nc(N3CCCC3)c(C#N)cc2c1,,,CHEMBL1201862,,,"{'bei': '22.46', 'le': '0.41', 'lle': '2.97', 'sei': '11.58'}",CHEMBL1303198,,CHEMBL1303198,5.69,0,http://www.openphacts.org/units/Nanomolar,1289437,=,7,1,=,,IC50,nM,,2040.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,2.04
,inactive,5505483,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cccn2c(=O)c(/C=C(\C#N)C(=O)NCc3ccco3)c(N3CCCC(C)C3)nc12,,,CHEMBL1201862,,,,CHEMBL1373908,,CHEMBL1373908,,0,http://www.openphacts.org/units/Nanomolar,1034674,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,Active,5505484,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,CCOC(=O)Cc1csc(-n2sc3ccccc3c2=O)n1,,,CHEMBL1201862,,,"{'bei': '16.44', 'le': '0.34', 'lle': '2.66', 'sei': '8.61'}",CHEMBL1412731,,CHEMBL1412731,5.27,0,http://www.openphacts.org/units/Nanomolar,1169773,=,7,1,=,,IC50,nM,,5400.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,5.4
,inactive,5505485,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(=O)oc2c3c4c(cc12)OCCN4CCC3,,,CHEMBL1201862,,,,CHEMBL1361904,,CHEMBL1361904,,0,http://www.openphacts.org/units/Nanomolar,981813,<,7,1,<,,IC50,nM,,195.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,0.195
,inactive,5505486,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(CNC(=O)NCc2ccccc2)cc1,,,CHEMBL1201862,,,,CHEMBL1303465,,CHEMBL1303465,,0,http://www.openphacts.org/units/Nanomolar,1132566,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,inactive,5505487,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,CN1CCc2c(sc3c2c(NCc2ccco2)nc2nnnn23)C1,,,CHEMBL1201862,,,"{'bei': '12.00', 'le': '0.23', 'lle': '2.17', 'sei': '4.86'}",CHEMBL1350226,,CHEMBL1350226,4.10,0,http://www.openphacts.org/units/Nanomolar,1306789,=,7,1,=,,IC50,nM,,80000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,80.0
,Active,5505488,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1ccc(/C=C(\C#N)C(=O)Nc2cccc3ncccc23)o1.Cl,,,CHEMBL1201862,,,"{'bei': '15.25', 'le': '0.27', 'lle': '0.95', 'sei': '5.86'}",CHEMBL1519408,,CHEMBL1623103,4.63,0,http://www.openphacts.org/units/Nanomolar,1038564,=,7,1,=,,IC50,nM,,23600.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,23.6
,Active,5505489,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,COc1ccc(C(=O)/N=c2\c(C#N)cc3c(=O)n4cccc(C)c4nc3n2Cc2ccco2)cc1,,,CHEMBL1201862,,,"{'bei': '10.85', 'le': '0.20', 'lle': '1.83', 'sei': '4.40'}",CHEMBL3207893,,CHEMBL3207893,5.05,0,http://www.openphacts.org/units/Nanomolar,999268,=,7,1,=,,IC50,nM,,8900.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,8.9
,Active,5505490,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,O=C1Nc2ccccc2C12Nc1ccccc1S2,,,CHEMBL1201862,,,"{'bei': '19.85', 'le': '0.38', 'lle': '2.04', 'sei': '12.27'}",CHEMBL1359561,,CHEMBL1359561,5.05,0,http://www.openphacts.org/units/Nanomolar,1191740,=,7,1,=,,IC50,nM,,8950.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,8.95
,inactive,5505491,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,COc1cccc2c1NC(C(=O)O)C1CC=CC21,,,CHEMBL1201862,,,,CHEMBL1528814,,CHEMBL1528814,,0,http://www.openphacts.org/units/Nanomolar,1292061,>,7,1,>,,IC50,nM,,100000.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,100.0
,Active,5505492,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Cc1cc(C)n2nc3nc4c(cc3c2n1)CCCC4,,,CHEMBL1201862,,,"{'bei': '17.57', 'le': '0.32', 'lle': '1.66', 'sei': '10.29'}",CHEMBL1350376,,CHEMBL1350376,4.43,0,http://www.openphacts.org/units/Nanomolar,1303896,=,7,1,=,,IC50,nM,,36800.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,36.8
,Active,5505493,[],CHEMBL1613917,"PUBCHEM_BIOASSAY: uHTS identification of compounds inhibiting the binding between the RUNX1 Runt domain and CBFb-SMMHC via a fluorescence resonance energy transfer (FRET) assay. Inhibition of protein-protein interaction using fluorescence resonance energy transfer (FRET) assay Secondary Screen (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID1438, AID1496, AID1502, AID1550, AID1560, AID1645]",B,,,BAO_0000190,BAO_0000224,protein format,Nc1c(C(=O)NCCN2CCOCC2)c2nc3ccccc3nc2n1Cc1ccco1,,,CHEMBL1201862,,,"{'bei': '14.09', 'le': '0.26', 'lle': '4.05', 'sei': '5.32'}",CHEMBL1429988,,CHEMBL1429988,5.92,0,http://www.openphacts.org/units/Nanomolar,1300413,=,7,1,=,,IC50,nM,,1190.0,CHEMBL2093862,Homo sapiens,Runt-related transcription factor 1/Core-binding factor subunit beta,9606,,,IC50,uM,UO_0000065,,1.19
